exposure_bin,symbol_accuracy_sd,position_accuracy_sd,larger_variability
1-9,0.11817404351355103,0.1195096852886952,position
10-18,0.11727247958118811,0.3029147893624748,position
19-27,0.1958469021207504,0.1847417214743686,symbol_or_tie
28-36,0.14973731933695483,0.13606887678313856,symbol_or_tie
37+,0.07943354321041277,0.08735759827070606,position
