session_name,target_label,mean_accuracy,sem_accuracy,mean_rt,sem_rt,total_trials,n_subjects
all_consonants,ㄱ,1.0,0.0,0.9348455333125053,0.1256798003358063,7,1
all_consonants,ㄲ,1.0,0.0,1.111021638854355,0.15371186585308613,7,1
all_consonants,ㄴ,1.0,0.0,0.93275075549415,0.07078598325220055,7,1
all_consonants,ㄷ,1.0,0.0,1.0295872999510418,0.0859747636087858,6,1
all_consonants,ㄸ,1.0,0.0,1.1952757166452808,0.0926647837201473,7,1
all_consonants,ㄹ,1.0,0.0,1.0080384166212752,0.1434628847374099,7,1
all_consonants,ㅁ,1.0,0.0,1.4207620222134414,0.06259176242409459,7,1
all_consonants,ㅂ,1.0,0.0,1.4289978056072465,0.16337164480232946,7,1
all_consonants,ㅃ,1.0,0.0,1.4949256166324227,0.048874022918661414,7,1
all_consonants,ㅅ,1.0,0.0,1.1193679889159587,0.05936158687600029,7,1
all_consonants,ㅆ,1.0,0.0,1.226122572170829,0.11984065606402074,7,1
all_consonants,ㅇ,1.0,0.0,0.9626136222505011,0.010044522293812874,7,1
all_consonants,ㅈ,1.0,0.0,1.4124096333786536,0.22154745136923618,6,1
all_consonants,ㅉ,1.0,0.0,1.3714989722551156,0.17680326012092928,7,1
all_consonants,ㅊ,1.0,0.0,1.572739666638275,0.12757433070037277,7,1
all_consonants,ㅋ,0.8333333333333334,0.16666666666666666,1.1970056833233684,0.16394807520847313,6,1
all_consonants,ㅌ,1.0,0.0,1.227203466638457,0.12947690579123597,7,1
all_consonants,ㅍ,0.8888888888888888,0.11111111111111113,2.0791897666963957,0.2194069681096126,7,1
all_consonants,ㅎ,1.0,0.0,1.58638711662368,0.1337305147253462,7,1
all_vowels,ㅏ,1.0,0.0,1.2200501416518819,0.16850054464720288,10,1
all_vowels,ㅐ,0.9166666666666666,0.08333333333333334,1.5502708416897804,0.10768948804279398,10,1
all_vowels,ㅑ,1.0,0.0,1.591968241671566,0.053936200180324606,10,1
all_vowels,ㅒ,0.9166666666666666,0.08333333333333334,2.065659852717848,0.05309606051449684,9,1
all_vowels,ㅓ,1.0,0.0,1.293572949944064,0.16807706045358828,10,1
all_vowels,ㅔ,0.8055555555555555,0.10015420209622193,1.4534570360685597,0.11566702377246212,9,1
all_vowels,ㅕ,0.9166666666666666,0.08333333333333334,1.7734459166434438,0.08581322038341334,10,1
all_vowels,ㅖ,1.0,0.0,1.9398171583889052,0.06081413843971723,10,1
all_vowels,ㅗ,1.0,0.0,1.1605648194155138,0.04261005449113455,9,1
all_vowels,ㅘ,1.0,0.0,1.7491860999822773,0.1599314819167176,10,1
all_vowels,ㅚ,1.0,0.0,2.0508482666660304,0.21881625821361558,9,1
all_vowels,ㅛ,1.0,0.0,1.5604212750234485,0.03189031075306233,10,1
all_vowels,ㅜ,1.0,0.0,1.263072658291397,0.0157025951109061,10,1
all_vowels,ㅝ,1.0,0.0,1.9629010333155748,0.33034316392129476,10,1
all_vowels,ㅟ,1.0,0.0,1.632249116655051,0.14205155559332955,10,1
all_vowels,ㅠ,1.0,0.0,1.5461510583732485,0.02840793557446562,9,1
all_vowels,ㅡ,1.0,0.0,1.3901189333215977,0.024997177524222466,10,1
all_vowels,ㅢ,1.0,0.0,1.3889929805494223,0.056543744359632636,9,1
all_vowels,ㅣ,1.0,0.0,1.1155066055750165,0.1176531344537795,9,1
basic_consonants,ㄱ,1.0,0.0,0.7136397721931442,0.016246796154289585,7,1
basic_consonants,ㄴ,1.0,0.0,0.7373547250172123,0.050637328151156624,8,1
basic_consonants,ㄷ,1.0,0.0,0.8351658499644449,0.017013636837380677,8,1
basic_consonants,ㅂ,0.9166666666666666,0.08333333333333334,1.3543006583543804,0.2238307639978164,8,1
basic_consonants,ㅅ,1.0,0.0,1.1295546333421953,0.14409959530413768,8,1
basic_consonants,ㅇ,1.0,0.0,0.8180181833773127,0.01298970290040397,7,1
basic_consonants,ㅈ,1.0,0.0,1.0347728250004973,0.128654179104767,8,1
basic_vowels,ㅏ,1.0,0.0,0.9197161833290011,0.04433156661771945,6,1
basic_vowels,ㅓ,1.0,0.0,1.0198105666592407,0.03437902091744279,6,1
basic_vowels,ㅗ,1.0,0.0,1.0740203833556734,0.14245968015927118,6,1
basic_vowels,ㅜ,1.0,0.0,0.959896799972436,0.03708674550274084,6,1
basic_vowels,ㅡ,1.0,0.0,1.2184737833837669,0.07562662804250186,6,1
basic_vowels,ㅣ,1.0,0.0,1.6145607833362494,0.5206457760843467,6,1
complex_vowels,ㅐ,1.0,0.0,2.407891583318512,0.5987755651587449,6,1
complex_vowels,ㅒ,1.0,0.0,2.3694802166816467,0.39836257376413164,6,1
complex_vowels,ㅔ,1.0,0.0,2.2095802833209746,0.43083557375010983,6,1
complex_vowels,ㅖ,1.0,0.0,2.2894446666662893,0.28306278653545214,6,1
complex_vowels,ㅘ,1.0,0.0,1.860872583386178,0.1886455973587831,6,1
complex_vowels,ㅚ,1.0,0.0,2.40329090001372,0.264610160235692,6,1
complex_vowels,ㅝ,1.0,0.0,2.640214716666378,0.6353154691136935,6,1
complex_vowels,ㅟ,1.0,0.0,1.7234048500152614,0.12007443584549861,6,1
double_consonants,ㄲ,1.0,0.0,0.813552783355893,0.023357950829542368,6,1
double_consonants,ㄸ,1.0,0.0,1.0408630833456602,0.13671864639993386,6,1
double_consonants,ㅃ,1.0,0.0,1.196754116700807,0.2299391079542397,6,1
double_consonants,ㅆ,1.0,0.0,1.2289652333129197,0.1749514221438993,6,1
double_consonants,ㅉ,1.0,0.0,1.1794422666619842,0.13855342004456378,6,1
double_vowels,ㅑ,1.0,0.0,1.334151166646431,0.0651348317950137,6,1
double_vowels,ㅕ,1.0,0.0,1.2715446333168074,0.02166692411053983,6,1
double_vowels,ㅛ,1.0,0.0,1.382923416676931,0.0769043621303705,6,1
double_vowels,ㅠ,1.0,0.0,1.3325051166466437,0.05075417936334572,6,1
double_vowels,ㅢ,1.0,0.0,1.5401092832908034,0.07332610317502984,6,1
long_consonants,ㄹ,1.0,0.0,0.9366576471818715,0.12006101765649413,9,1
long_consonants,ㅁ,1.0,0.0,1.329262947217406,0.1620757701031741,9,1
long_consonants,ㅊ,0.8333333333333334,0.16666666666666666,1.4033697999742192,0.18429106661150285,8,1
long_consonants,ㅋ,0.9166666666666666,0.08333333333333334,1.0872789361164905,0.14536373548229706,9,1
long_consonants,ㅌ,1.0,0.0,1.0663592111409848,0.17602008521867352,9,1
long_consonants,ㅍ,1.0,0.0,1.5946274416637607,0.1184990768766981,8,1
long_consonants,ㅎ,0.9166666666666666,0.08333333333333334,1.7036236083173815,0.2747535750249803,8,1
syllable_top100,감,1.0,0.0,3.041827999986708,0.0,1,1
syllable_top100,거,0.0,0.0,1.7754948001820594,0.0,1,1
syllable_top100,것,1.0,0.0,3.532029499998316,0.0,1,1
syllable_top100,계,1.0,0.0,2.585234500002116,0.0,1,1
syllable_top100,공,1.0,0.0,2.523301800014451,0.0,1,1
syllable_top100,내,1.0,0.0,3.6358052999712527,0.0,1,1
syllable_top100,년,0.0,0.0,3.991188099840656,0.0,1,1
syllable_top100,대,0.0,0.0,3.394328200025484,0.0,1,1
syllable_top100,등,1.0,0.0,3.214246300049126,0.0,1,1
syllable_top100,명,1.0,0.0,4.294798300135881,0.0,1,1
syllable_top100,사,1.0,0.0,1.2603123001754284,0.0,1,1
syllable_top100,산,1.0,0.0,1.2384935000445694,0.0,1,1
syllable_top100,상,1.0,0.0,1.8557414000388237,0.0,1,1
syllable_top100,성,1.0,0.0,2.135453099850565,0.0,1,1
syllable_top100,세,0.0,0.0,2.0386741999536757,0.0,1,1
syllable_top100,신,0.0,0.0,3.9971121000126,0.0,1,1
syllable_top100,아,1.0,0.0,1.6014984999783335,0.0,1,1
syllable_top100,연,1.0,0.0,1.38398059993051,0.0,1,1
syllable_top100,영,0.0,0.0,3.934887700015679,0.0,1,1
syllable_top100,오,1.0,0.0,2.1467741997912526,0.0,1,1
syllable_top100,우,1.0,0.0,1.4843999999575317,0.0,1,1
syllable_top100,유,1.0,0.0,2.071170600131154,0.0,1,1
syllable_top100,이,0.0,0.0,1.9472918000537904,0.0,1,1
syllable_top100,인,1.0,0.0,1.9915058999322357,0.0,1,1
syllable_top100,자,1.0,0.0,1.781736700097099,0.0,1,1
syllable_top100,장,1.0,0.0,2.404389299917966,0.0,1,1
syllable_top100,전,1.0,0.0,2.2836187998764217,0.0,1,1
syllable_top100,제,1.0,0.0,3.141937999986112,0.0,1,1
syllable_top100,지,1.0,0.0,2.4613119000568986,0.0,1,1
syllable_top100,치,1.0,0.0,2.64704760001041,0.0,1,1
syllable_top100,해,1.0,0.0,3.785787499975413,0.0,1,1
syllable_top100,회,1.0,0.0,3.843699700199068,0.0,1,1
syllable_top100,후,1.0,0.0,2.00329319993034,0.0,1,1
syllable_top50,가,1.0,0.0,1.6593591334143032,0.11777516274931273,3,1
syllable_top50,개,0.6666666666666666,0.33333333333333337,2.4529967666991674,0.3476390679785689,3,1
syllable_top50,것,1.0,0.0,2.4077213333221152,0.0675706629481537,3,1
syllable_top50,경,1.0,0.0,2.808204066590406,0.8197023871512712,3,1
syllable_top50,계,1.0,0.0,3.043546733330004,0.14682160695369223,3,1
syllable_top50,고,1.0,0.0,1.7654277333446469,0.11359806792329075,3,1
syllable_top50,공,1.0,0.0,2.071296300001753,0.12064180149127014,3,1
syllable_top50,관,1.0,0.0,3.6482299333438277,0.5170003217341819,3,1
syllable_top50,구,1.0,0.0,2.1513054333627224,0.6162715901587389,3,1
syllable_top50,국,1.0,0.0,2.1667649333442873,0.019250150019681993,3,1
syllable_top50,기,1.0,0.0,1.7256199332963054,0.08159419388758044,3,1
syllable_top50,나,1.0,0.0,2.263196066720411,0.13551534407890137,3,1
syllable_top50,내,1.0,0.0,4.6569522999537485,1.3148189773171441,3,1
syllable_top50,대,1.0,0.0,3.5787706666160375,0.4768833979278156,3,1
syllable_top50,도,0.6666666666666666,0.33333333333333337,1.9546875666128471,0.3517075972577654,3,1
syllable_top50,동,1.0,0.0,2.2869143000183008,0.15346922084686182,3,1
syllable_top50,등,1.0,0.0,4.0912182333801566,0.7809552777556893,3,1
