subject,day,n_sessions_present,sessions_present,n_trials,n_unique_targets,mean_reps_per_target,response_mode,accuracy,rt_mean_sec,rt_median_sec,rt_from_stimulus_mean_sec,rt_from_stimulus_median_sec,day_elapsed_final_sec
s01,2026-05-28,9,basic_consonants|long_consonants|double_consonants|all_consonants|basic_vowels|double_vowels|complex_vowels|all_vowels|syllable_top50,233,88,2.647727272727273,voice_ml,0.9871244635193133,1.945118010299912,1.6507934000110254,1.2933081390552768,1.0710542999673636,
s01,2026-06-02,10,basic_consonants|long_consonants|double_consonants|all_consonants|basic_vowels|double_vowels|complex_vowels|all_vowels|syllable_top50|syllable_top100,315,102,3.088235294117647,voice_ml,0.9396825396825397,1.6778543142771851,1.4811893999576569,1.0255968869760586,0.8331351001109928,
s01,2026-06-04,9,basic_consonants|long_consonants|double_consonants|all_consonants|basic_vowels|double_vowels|complex_vowels|all_vowels|syllable_top50,206,88,2.340909090909091,voice_ml,0.9902912621359223,1.4753845864104433,1.4100131500745192,0.8417991495172394,0.7400748499311507,
