subject,day,session_idx,session_name,session_title,trial_index_global,trial_index_session,target_label,target_command,response_mode,option_count,options,selected_label,manual_response,correct,rt_sec,rt_from_stimulus_sec,voice_onset_rt_sec,trial_elapsed_sec,session_elapsed_sec,day_elapsed_sec,trial_start_time,stimulus_sent_time,answer_time,voice_engine,voice_wav_path,voice_stt_raw,voice_stt_norm,voice_process_time_sec,voice_recorded_duration_sec,top_candidates,timestamp,stimulus_duration_sec,within_unit_interval_ms,cv_interval_ms
s01,2026-05-28,1,basic_consonants,Session 1: Basic consonants,1,1,ㅅ,4/150,voice_ml,7,ㄱ|ㄴ|ㄷ|ㅂ|ㅅ|ㅇ|ㅈ,ㅅ,0,1,1.3837559999665245,1.2337559999665246,,5.10258936882019,,,1779972703.059826,1779972705.28012,1779972708.1624153,ml_jamo,hangul_learning_results\subject_s01\voice_trials\trial_voice_1779972707352.wav,,,0.23141820007003844,1.26,"[{""label"": ""ㅅ"", ""probability"": 0.1596153846153846, ""score"": 0.1596153846153846}, {""label"": ""ㄱ"", ""probability"": 0.15384615384615385, ""score"": 0.15384615384615385}, {""label"": ""ㅈ"", ""probability"": 0.07692307692307693, ""score"": 0.07692307692307693}, {""label"": ""ㅇ"", ""probability"": 0.05961538461538462, ""score"": 0.05961538461538462}, {""label"": ""ㄷ"", ""probability"": 0.05, ""score"": 0.05}]",2026-05-28 21:51:48,0.15,150,250
s01,2026-05-28,1,basic_consonants,Session 1: Basic consonants,2,2,ㅇ,9/150,voice_ml,7,ㄱ|ㄴ|ㄷ|ㅂ|ㅅ|ㅇ|ㅈ,ㅇ,0,1,0.7531392000382766,0.6031392000382766,,3.051156759262085,,,1779972708.5792966,1779972709.273302,1779972711.6304533,ml_jamo,hangul_learning_results\subject_s01\voice_trials\trial_voice_1779972710883.wav,,,0.2300917999818921,1.44,"[{""label"": ""ㅇ"", ""probability"": 0.3173076923076923, ""score"": 0.3173076923076923}, {""label"": ""ㄴ"", ""probability"": 0.12115384615384615, ""score"": 0.12115384615384615}, {""label"": ""ㅂ"", ""probability"": 0.07500000000000001, ""score"": 0.07500000000000001}, {""label"": ""ㄷ"", ""probability"": 0.07307692307692308, ""score"": 0.07307692307692308}, {""label"": ""ㄱ"", ""probability"": 0.05, ""score"": 0.05}]",2026-05-28 21:51:51,0.15,150,250
s01,2026-05-28,1,basic_consonants,Session 1: Basic consonants,3,3,ㄱ,3/150,voice_ml,7,ㄱ|ㄴ|ㄷ|ㅂ|ㅅ|ㅇ|ㅈ,ㄱ,0,1,0.7237412000540644,0.5737412000540644,,2.6785004138946533,,,1779972712.2047534,1779972712.8387077,1779972714.8832538,ml_jamo,hangul_learning_results\subject_s01\voice_trials\trial_voice_1779972714239.wav,,,0.22600589995272458,1.26,"[{""label"": ""ㄱ"", ""probability"": 0.19615384615384618, ""score"": 0.19615384615384618}, {""label"": ""ㄷ"", ""probability"": 0.12115384615384615, ""score"": 0.12115384615384615}, {""label"": ""ㅂ"", ""probability"": 0.08653846153846154, ""score"": 0.08653846153846154}, {""label"": ""ㄴ"", ""probability"": 0.05576923076923077, ""score"": 0.05576923076923077}, {""label"": ""ㅇ"", ""probability"": 0.05576923076923077, ""score"": 0.05576923076923077}]",2026-05-28 21:51:54,0.15,150,250
s01,2026-05-28,1,basic_consonants,Session 1: Basic consonants,4,4,ㄷ,1/150,voice_ml,7,ㄱ|ㄴ|ㄷ|ㅂ|ㅅ|ㅇ|ㅈ,ㄷ,0,1,0.8142292000120506,0.6642292000120505,,2.720827579498291,,,1779972715.2970448,1779972715.938309,1779972718.0178723,ml_jamo,hangul_learning_results\subject_s01\voice_trials\trial_voice_1779972717337.wav,,,0.22748100000899285,1.17,"[{""label"": ""ㄷ"", ""probability"": 0.1423076923076923, ""score"": 0.1423076923076923}, {""label"": ""ㄴ"", ""probability"": 0.1326923076923077, ""score"": 0.1326923076923077}, {""label"": ""ㅇ"", ""probability"": 0.12115384615384615, ""score"": 0.12115384615384615}, {""label"": ""ㅂ"", ""probability"": 0.0826923076923077, ""score"": 0.0826923076923077}, {""label"": ""ㄱ"", ""probability"": 0.06538461538461539, ""score"": 0.06538461538461539}]",2026-05-28 21:51:58,0.15,150,250
s01,2026-05-28,1,basic_consonants,Session 1: Basic consonants,5,5,ㅂ,6/150,voice_ml,7,ㄱ|ㄴ|ㄷ|ㅂ|ㅅ|ㅇ|ㅈ,ㅂ,0,1,1.0614955999189988,0.9114955999189988,,3.3923003673553467,,,1779972718.4569898,1779972719.0987606,1779972721.8492901,ml_jamo,hangul_learning_results\subject_s01\voice_trials\trial_voice_1779972720836.wav,,,0.22812290000729263,1.26,"[{""label"": ""ㅇ"", ""probability"": 0.18076923076923077, ""score"": 0.18076923076923077}, {""label"": ""ㅂ"", ""probability"": 0.17884615384615385, ""score"": 0.17884615384615385}, {""label"": ""ㄴ"", ""probability"": 0.15000000000000002, ""score"": 0.15000000000000002}, {""label"": ""ㄷ"", ""probability"": 0.10192307692307692, ""score"": 0.10192307692307692}, {""label"": ""ㅈ"", ""probability"": 0.028846153846153848, ""score"": 0.028846153846153848}]",2026-05-28 21:52:01,0.15,150,250
s01,2026-05-28,1,basic_consonants,Session 1: Basic consonants,6,6,ㄴ,2/150,voice_ml,7,ㄱ|ㄴ|ㄷ|ㅂ|ㅅ|ㅇ|ㅈ,ㄴ,0,1,0.7229065001010895,0.5729065001010895,,2.948662281036377,,,1779972722.2942667,1779972722.9408376,1779972725.242929,ml_jamo,hangul_learning_results\subject_s01\voice_trials\trial_voice_1779972724460.wav,,,0.23198039992712438,1.38,"[{""label"": ""ㅇ"", ""probability"": 0.2519230769230769, ""score"": 0.2519230769230769}, {""label"": ""ㄴ"", ""probability"": 0.14038461538461539, ""score"": 0.14038461538461539}, {""label"": ""ㄷ"", ""probability"": 0.08653846153846154, ""score"": 0.08653846153846154}, {""label"": ""ㅂ"", ""probability"": 0.06923076923076923, ""score"": 0.06923076923076923}, {""label"": ""ㅅ"", ""probability"": 0.032692307692307694, ""score"": 0.032692307692307694}]",2026-05-28 21:52:05,0.15,150,250
s01,2026-05-28,1,basic_consonants,Session 1: Basic consonants,7,7,ㅈ,7/150,voice_ml,7,ㄱ|ㄴ|ㄷ|ㅂ|ㅅ|ㅇ|ㅈ,ㅈ,0,1,0.8147300999844447,0.6647300999844447,,2.960007429122925,,,1779972725.6312745,1779972726.266648,1779972728.591282,ml_jamo,hangul_learning_results\subject_s01\voice_trials\trial_voice_1779972727787.wav,,,0.22636380000039935,1.29,"[{""label"": ""ㅈ"", ""probability"": 0.18846153846153846, ""score"": 0.18846153846153846}, {""label"": ""ㅂ"", ""probability"": 0.06730769230769232, ""score"": 0.06730769230769232}, {""label"": ""ㄱ"", ""probability"": 0.046153846153846156, ""score"": 0.046153846153846156}, {""label"": ""ㄷ"", ""probability"": 0.028846153846153848, ""score"": 0.028846153846153848}, {""label"": ""ㅇ"", ""probability"": 0.026923076923076925, ""score"": 0.026923076923076925}]",2026-05-28 21:52:08,0.15,150,250
s01,2026-05-28,1,basic_consonants,Session 1: Basic consonants,8,8,ㄴ,2/150,voice_ml,7,ㄱ|ㄴ|ㄷ|ㅂ|ㅅ|ㅇ|ㅈ,ㄴ,0,1,0.842489599948749,0.6924895999487489,,3.067979097366333,,,1779972728.9903238,1779972729.6368778,1779972732.0583029,ml_jamo,hangul_learning_results\subject_s01\voice_trials\trial_voice_1779972731306.wav,,,0.22876800002995878,1.41,"[{""label"": ""ㄴ"", ""probability"": 0.19615384615384618, ""score"": 0.19615384615384618}, {""label"": ""ㅇ"", ""probability"": 0.16923076923076924, ""score"": 0.16923076923076924}, {""label"": ""ㄷ"", ""probability"": 0.12115384615384615, ""score"": 0.12115384615384615}, {""label"": ""ㅂ"", ""probability"": 0.08653846153846154, ""score"": 0.08653846153846154}, {""label"": ""ㄱ"", ""probability"": 0.032692307692307694, ""score"": 0.032692307692307694}]",2026-05-28 21:52:12,0.15,150,250
s01,2026-05-28,1,basic_consonants,Session 1: Basic consonants,9,9,ㅈ,7/150,voice_ml,7,ㄱ|ㄴ|ㄷ|ㅂ|ㅅ|ㅇ|ㅈ,ㅈ,0,1,0.7415433999849483,0.5915433999849483,,2.8944737911224365,,,1779972732.4252598,1779972733.0632172,1779972735.3197336,ml_jamo,hangul_learning_results\subject_s01\voice_trials\trial_voice_1779972734512.wav,,,0.2540754999499768,1.29,"[{""label"": ""ㅈ"", ""probability"": 0.25769230769230766, ""score"": 0.25769230769230766}, {""label"": ""ㅅ"", ""probability"": 0.09807692307692309, ""score"": 0.09807692307692309}, {""label"": ""ㄱ"", ""probability"": 0.07692307692307693, ""score"": 0.07692307692307693}, {""label"": ""ㅇ"", ""probability"": 0.023076923076923078, ""score"": 0.023076923076923078}, {""label"": ""ㄷ"", ""probability"": 0.021153846153846155, ""score"": 0.021153846153846155}]",2026-05-28 21:52:15,0.15,150,250
s01,2026-05-28,1,basic_consonants,Session 1: Basic consonants,10,10,ㄷ,1/150,voice_ml,7,ㄱ|ㄴ|ㄷ|ㅂ|ㅅ|ㅇ|ㅈ,ㄷ,0,1,0.8141400000313297,0.6641400000313297,,2.8190927505493164,,,1779972735.695206,1779972736.3379936,1779972738.5142987,ml_jamo,hangul_learning_results\subject_s01\voice_trials\trial_voice_1779972737797.wav,,,0.22352120000869036,1.23,"[{""label"": ""ㄷ"", ""probability"": 0.15576923076923077, ""score"": 0.15576923076923077}, {""label"": ""ㅇ"", ""probability"": 0.14807692307692308, ""score"": 0.14807692307692308}, {""label"": ""ㅂ"", ""probability"": 0.11153846153846154, ""score"": 0.11153846153846154}, {""label"": ""ㄴ"", ""probability"": 0.10192307692307692, ""score"": 0.10192307692307692}, {""label"": ""ㅈ"", ""probability"": 0.03461538461538462, ""score"": 0.03461538461538462}]",2026-05-28 21:52:18,0.15,150,250
