subject,day,session_idx,session_name,session_title,trial_index_global,trial_index_session,target_label,target_command,response_mode,option_count,options,selected_label,manual_response,correct,rt_sec,rt_from_stimulus_sec,voice_onset_rt_sec,trial_elapsed_sec,session_elapsed_sec,day_elapsed_sec,trial_start_time,stimulus_sent_time,answer_time,voice_engine,voice_wav_path,voice_stt_raw,voice_stt_norm,voice_process_time_sec,voice_recorded_duration_sec,top_candidates,timestamp,stimulus_duration_sec,within_unit_interval_ms,cv_interval_ms
s01,2026-06-04,1,basic_consonants,Session 1: Basic consonants,1,1,ㅂ,6/150,voice_ml,7,ㄱ|ㄴ|ㄷ|ㅂ|ㅅ|ㅇ|ㅈ,ㅂ,0,1,1.469796400051564,1.319796400051564,,11.130011796951294,,,1780534278.6471174,1780534282.4710915,1780534289.7771292,ml_jamo,hangul_learning_results\subject_s01\voice_trials\trial_voice_1780534287020.wav,,,0.47197010018862784,3.09,"[{""label"": ""ㅇ"", ""probability"": 0.08076923076923077, ""score"": 0.08076923076923077}, {""label"": ""ㄷ"", ""probability"": 0.03653846153846154, ""score"": 0.03653846153846154}, {""label"": ""ㄴ"", ""probability"": 0.03461538461538462, ""score"": 0.03461538461538462}, {""label"": ""ㅂ"", ""probability"": 0.03076923076923077, ""score"": 0.03076923076923077}, {""label"": ""ㄱ"", ""probability"": 0.023076923076923078, ""score"": 0.023076923076923078}]",2026-06-04 09:51:29,0.15,150,250
s01,2026-06-04,1,basic_consonants,Session 1: Basic consonants,2,2,ㄷ,1/150,voice_ml,7,ㄱ|ㄴ|ㄷ|ㅂ|ㅅ|ㅇ|ㅈ,ㄷ,0,1,1.0291662998497486,0.8791662998497486,,3.492872953414917,,,1780534291.1581812,1780534291.8260791,1780534294.6510541,ml_jamo,hangul_learning_results\subject_s01\voice_trials\trial_voice_1780534293573.wav,,,0.35029130009934306,1.26,"[{""label"": ""ㄷ"", ""probability"": 0.06730769230769232, ""score"": 0.06730769230769232}, {""label"": ""ㄴ"", ""probability"": 0.05576923076923077, ""score"": 0.05576923076923077}, {""label"": ""ㅇ"", ""probability"": 0.046153846153846156, ""score"": 0.046153846153846156}, {""label"": ""ㅂ"", ""probability"": 0.038461538461538464, ""score"": 0.038461538461538464}, {""label"": ""ㄱ"", ""probability"": 0.026923076923076925, ""score"": 0.026923076923076925}]",2026-06-04 09:51:34,0.15,150,250
s01,2026-06-04,1,basic_consonants,Session 1: Basic consonants,3,3,ㅇ,9/150,voice_ml,7,ㄱ|ㄴ|ㄷ|ㅂ|ㅅ|ㅇ|ㅈ,ㅇ,0,1,0.799551900010556,0.649551900010556,,3.1144449710845947,,,1780534295.1774738,1780534295.814412,1780534298.2919188,ml_jamo,hangul_learning_results\subject_s01\voice_trials\trial_voice_1780534297419.wav,,,0.3575540999881923,1.38,"[{""label"": ""ㅇ"", ""probability"": 0.1807692307692308, ""score"": 0.1807692307692308}, {""label"": ""ㅂ"", ""probability"": 0.06153846153846154, ""score"": 0.06153846153846154}, {""label"": ""ㄴ"", ""probability"": 0.019230769230769232, ""score"": 0.019230769230769232}, {""label"": ""ㄱ"", ""probability"": 0.015384615384615385, ""score"": 0.015384615384615385}, {""label"": ""ㄷ"", ""probability"": 0.013461538461538462, ""score"": 0.013461538461538462}]",2026-06-04 09:51:38,0.15,150,250
s01,2026-06-04,1,basic_consonants,Session 1: Basic consonants,4,4,ㅈ,7/150,voice_ml,7,ㄱ|ㄴ|ㄷ|ㅂ|ㅅ|ㅇ|ㅈ,ㅈ,0,1,1.2643534000962973,1.1143534000962974,,3.4778666496276855,,,1780534298.7362554,1780534299.3704052,1780534302.214122,ml_jamo,hangul_learning_results\subject_s01\voice_trials\trial_voice_1780534301371.wav,,,0.3592858000192791,1.32,"[{""label"": ""ㅈ"", ""probability"": 0.17115384615384616, ""score"": 0.17115384615384616}, {""label"": ""ㅅ"", ""probability"": 0.08076923076923077, ""score"": 0.08076923076923077}, {""label"": ""ㄱ"", ""probability"": 0.05576923076923077, ""score"": 0.05576923076923077}, {""label"": ""ㅇ"", ""probability"": 0.019230769230769232, ""score"": 0.019230769230769232}, {""label"": ""ㄴ"", ""probability"": 0.01730769230769231, ""score"": 0.01730769230769231}]",2026-06-04 09:51:42,0.15,150,250
s01,2026-06-04,1,basic_consonants,Session 1: Basic consonants,5,5,ㄱ,3/150,voice_ml,7,ㄱ|ㄴ|ㄷ|ㅂ|ㅅ|ㅇ|ㅈ,ㄱ,0,1,0.693900499958545,0.543900499958545,,2.802835702896118,,,1780534302.6067712,1780534303.269601,1780534305.409607,ml_jamo,hangul_learning_results\subject_s01\voice_trials\trial_voice_1780534304609.wav,,,0.3678233998361975,1.23,"[{""label"": ""ㄱ"", ""probability"": 0.17307692307692307, ""score"": 0.17307692307692307}, {""label"": ""ㄷ"", ""probability"": 0.05, ""score"": 0.05}, {""label"": ""ㅇ"", ""probability"": 0.032692307692307694, ""score"": 0.032692307692307694}, {""label"": ""ㄴ"", ""probability"": 0.026923076923076925, ""score"": 0.026923076923076925}, {""label"": ""ㅂ"", ""probability"": 0.026923076923076925, ""score"": 0.026923076923076925}]",2026-06-04 09:51:45,0.15,150,250
s01,2026-06-04,1,basic_consonants,Session 1: Basic consonants,6,6,ㄴ,2/150,voice_ml,7,ㄱ|ㄴ|ㄷ|ㅂ|ㅅ|ㅇ|ㅈ,ㄴ,0,1,0.6213970999233425,0.47139709992334244,,2.943127393722534,,,1780534305.8052597,1780534306.455986,1780534308.748387,ml_jamo,hangul_learning_results\subject_s01\voice_trials\trial_voice_1780534307872.wav,,,0.36363499984145164,1.35,"[{""label"": ""ㄴ"", ""probability"": 0.08846153846153847, ""score"": 0.08846153846153847}, {""label"": ""ㅇ"", ""probability"": 0.07115384615384615, ""score"": 0.07115384615384615}, {""label"": ""ㅂ"", ""probability"": 0.013461538461538462, ""score"": 0.013461538461538462}, {""label"": ""ㄷ"", ""probability"": 0.011538461538461539, ""score"": 0.011538461538461539}, {""label"": ""ㄱ"", ""probability"": 0.009615384615384616, ""score"": 0.009615384615384616}]",2026-06-04 09:51:48,0.15,150,250
s01,2026-06-04,1,basic_consonants,Session 1: Basic consonants,7,7,ㅅ,4/150,voice_ml,7,ㄱ|ㄴ|ㄷ|ㅂ|ㅅ|ㅇ|ㅈ,ㅅ,0,1,1.016426800051704,0.866426800051704,,3.13077449798584,,,1780534309.096434,1780534309.7344708,1780534312.2272086,ml_jamo,hangul_learning_results\subject_s01\voice_trials\trial_voice_1780534311431.wav,,,0.358299900079146,1.26,"[{""label"": ""ㅅ"", ""probability"": 0.09615384615384616, ""score"": 0.09615384615384616}, {""label"": ""ㅈ"", ""probability"": 0.06923076923076923, ""score"": 0.06923076923076923}, {""label"": ""ㄱ"", ""probability"": 0.04807692307692308, ""score"": 0.04807692307692308}, {""label"": ""ㄴ"", ""probability"": 0.007692307692307693, ""score"": 0.007692307692307693}, {""label"": ""ㅂ"", ""probability"": 0.007692307692307693, ""score"": 0.007692307692307693}]",2026-06-04 09:51:52,0.15,150,250
s01,2026-06-04,1,basic_consonants,Session 1: Basic consonants,8,8,ㅅ,4/150,voice_ml,7,ㄱ|ㄴ|ㄷ|ㅂ|ㅅ|ㅇ|ㅈ,ㅅ,0,1,0.7533191000111401,0.6033191000111401,,3.0982003211975098,,,1780534312.612594,1780534313.2312024,1780534315.7107942,ml_jamo,hangul_learning_results\subject_s01\voice_trials\trial_voice_1780534314659.wav,,,0.38711980008520186,1.26,"[{""label"": ""ㄱ"", ""probability"": 0.0826923076923077, ""score"": 0.0826923076923077}, {""label"": ""ㅅ"", ""probability"": 0.07692307692307693, ""score"": 0.07692307692307693}, {""label"": ""ㄴ"", ""probability"": 0.03461538461538462, ""score"": 0.03461538461538462}, {""label"": ""ㄷ"", ""probability"": 0.026923076923076925, ""score"": 0.026923076923076925}, {""label"": ""ㅈ"", ""probability"": 0.026923076923076925, ""score"": 0.026923076923076925}]",2026-06-04 09:51:55,0.15,150,250
s01,2026-06-04,1,basic_consonants,Session 1: Basic consonants,9,9,ㅇ,9/150,voice_ml,7,ㄱ|ㄴ|ㄷ|ㅂ|ㅅ|ㅇ|ㅈ,ㅇ,0,1,0.7848251999821514,0.6348251999821514,,3.015641689300537,,,1780534316.0595927,1780534316.7266939,1780534319.0752344,ml_jamo,hangul_learning_results\subject_s01\voice_trials\trial_voice_1780534318277.wav,,,0.3549897000193596,1.35,"[{""label"": ""ㅇ"", ""probability"": 0.1326923076923077, ""score"": 0.1326923076923077}, {""label"": ""ㄴ"", ""probability"": 0.04038461538461539, ""score"": 0.04038461538461539}, {""label"": ""ㅂ"", ""probability"": 0.03461538461538462, ""score"": 0.03461538461538462}, {""label"": ""ㄱ"", ""probability"": 0.023076923076923078, ""score"": 0.023076923076923078}, {""label"": ""ㄷ"", ""probability"": 0.01730769230769231, ""score"": 0.01730769230769231}]",2026-06-04 09:51:59,0.15,150,250
s01,2026-06-04,1,basic_consonants,Session 1: Basic consonants,10,10,ㄷ,1/150,voice_ml,7,ㄱ|ㄴ|ㄷ|ㅂ|ㅅ|ㅇ|ㅈ,ㄷ,0,1,0.7085462999530137,0.5585462999530136,,3.212287664413452,,,1780534319.3888557,1780534320.0413816,1780534322.6011434,ml_jamo,hangul_learning_results\subject_s01\voice_trials\trial_voice_1780534321365.wav,,,0.3608877998776734,1.2,"[{""label"": ""ㄴ"", ""probability"": 0.06153846153846154, ""score"": 0.06153846153846154}, {""label"": ""ㅇ"", ""probability"": 0.04807692307692308, ""score"": 0.04807692307692308}, {""label"": ""ㄷ"", ""probability"": 0.046153846153846156, ""score"": 0.046153846153846156}, {""label"": ""ㅂ"", ""probability"": 0.023076923076923078, ""score"": 0.023076923076923078}, {""label"": ""ㄱ"", ""probability"": 0.015384615384615385, ""score"": 0.015384615384615385}]",2026-06-04 09:52:02,0.15,150,250
s01,2026-06-04,1,basic_consonants,Session 1: Basic consonants,11,11,ㅂ,6/150,voice_ml,7,ㄱ|ㄴ|ㄷ|ㅂ|ㅅ|ㅇ|ㅈ,ㅂ,0,1,1.234093400184065,1.0840934001840652,,4.305593729019165,,,1780534322.9035203,1780534323.5687091,1780534327.209114,ml_jamo,hangul_learning_results\subject_s01\voice_trials\trial_voice_1780534325954.wav,,,0.368316899985075,1.74,"[{""label"": ""ㅇ"", ""probability"": 0.11153846153846154, ""score"": 0.11153846153846154}, {""label"": ""ㄷ"", ""probability"": 0.08461538461538462, ""score"": 0.08461538461538462}, {""label"": ""ㅂ"", ""probability"": 0.05961538461538462, ""score"": 0.05961538461538462}, {""label"": ""ㄴ"", ""probability"": 0.04230769230769231, ""score"": 0.04230769230769231}, {""label"": ""ㄱ"", ""probability"": 0.028846153846153848, ""score"": 0.028846153846153848}]",2026-06-04 09:52:07,0.15,150,250
s01,2026-06-04,1,basic_consonants,Session 1: Basic consonants,12,12,ㄱ,3/150,voice_ml,7,ㄱ|ㄴ|ㄷ|ㅂ|ㅅ|ㅇ|ㅈ,ㄱ,0,1,0.6697237000335008,0.5197237000335008,,3.4487648010253906,,,1780534327.573901,1780534328.2559586,1780534331.0226657,ml_jamo,hangul_learning_results\subject_s01\voice_trials\trial_voice_1780534329563.wav,,,0.32985829981043935,1.23,"[{""label"": ""ㄴ"", ""probability"": 0.057692307692307696, ""score"": 0.057692307692307696}, {""label"": ""ㄷ"", ""probability"": 0.057692307692307696, ""score"": 0.057692307692307696}, {""label"": ""ㄱ"", ""probability"": 0.046153846153846156, ""score"": 0.046153846153846156}, {""label"": ""ㅇ"", ""probability"": 0.038461538461538464, ""score"": 0.038461538461538464}, {""label"": ""ㅂ"", ""probability"": 0.023076923076923078, ""score"": 0.023076923076923078}]",2026-06-04 09:52:11,0.15,150,250
s01,2026-06-04,1,basic_consonants,Session 1: Basic consonants,13,13,ㅈ,7/150,voice_ml,7,ㄱ|ㄴ|ㄷ|ㅂ|ㅅ|ㅇ|ㅈ,ㅈ,0,1,1.0940237999893725,0.9440237999893725,,3.295217514038086,,,1780534331.3131142,1780534331.9654772,1780534334.6083317,ml_jamo,hangul_learning_results\subject_s01\voice_trials\trial_voice_1780534333735.wav,,,0.3454904002137482,1.26,"[{""label"": ""ㅈ"", ""probability"": 0.125, ""score"": 0.125}, {""label"": ""ㄱ"", ""probability"": 0.07115384615384615, ""score"": 0.07115384615384615}, {""label"": ""ㄷ"", ""probability"": 0.038461538461538464, ""score"": 0.038461538461538464}, {""label"": ""ㅅ"", ""probability"": 0.038461538461538464, ""score"": 0.038461538461538464}, {""label"": ""ㄴ"", ""probability"": 0.01730769230769231, ""score"": 0.01730769230769231}]",2026-06-04 09:52:14,0.15,150,250
s01,2026-06-04,1,basic_consonants,Session 1: Basic consonants,14,14,ㄴ,2/150,voice_ml,7,ㄱ|ㄴ|ㄷ|ㅂ|ㅅ|ㅇ|ㅈ,ㄴ,0,1,0.6511200000531971,0.5011200000531971,,3.8879880905151367,,,1780534335.0181148,1780534335.6420648,1780534338.906103,ml_jamo,hangul_learning_results\subject_s01\voice_trials\trial_voice_1780534337783.wav,,,0.3502108999527991,2.07,"[{""label"": ""ㅇ"", ""probability"": 0.11153846153846153, ""score"": 0.11153846153846153}, {""label"": ""ㄴ"", ""probability"": 0.06153846153846154, ""score"": 0.06153846153846154}, {""label"": ""ㄱ"", ""probability"": 0.03076923076923077, ""score"": 0.03076923076923077}, {""label"": ""ㅂ"", ""probability"": 0.019230769230769232, ""score"": 0.019230769230769232}, {""label"": ""ㄷ"", ""probability"": 0.011538461538461539, ""score"": 0.011538461538461539}]",2026-06-04 09:52:18,0.15,150,250
s01,2026-06-04,2,long_consonants,Session 2: Long consonants,15,1,ㄹ,2/350,voice_ml,7,ㅋ|ㄹ|ㅌ|ㅍ|ㅎ|ㅁ|ㅊ,ㄹ,0,1,0.8747293001506478,0.5247293001506478,,3.5022599697113037,,,1780534340.5174644,1780534341.420669,1780534344.0197244,ml_jamo,hangul_learning_results\subject_s01\voice_trials\trial_voice_1780534343151.wav,,,0.3733262999448925,1.44,"[{""label"": ""ㄹ"", ""probability"": 0.11538461538461539, ""score"": 0.11538461538461539}, {""label"": ""ㅁ"", ""probability"": 0.03653846153846154, ""score"": 0.03653846153846154}, {""label"": ""ㅎ"", ""probability"": 0.015384615384615385, ""score"": 0.015384615384615385}, {""label"": ""ㅌ"", ""probability"": 0.009615384615384616, ""score"": 0.009615384615384616}, {""label"": ""ㅊ"", ""probability"": 0.0038461538461538464, ""score"": 0.0038461538461538464}]",2026-06-04 09:52:24,0.35,150,250
s01,2026-06-04,2,long_consonants,Session 2: Long consonants,16,2,ㅁ,9/350,voice_ml,7,ㅋ|ㄹ|ㅌ|ㅍ|ㅎ|ㅁ|ㅊ,ㅁ,0,1,1.235003300011158,0.885003300011158,,3.5861237049102783,,,1780534344.3459764,1780534345.009378,1780534347.9321,ml_jamo,hangul_learning_results\subject_s01\voice_trials\trial_voice_1780534347123.wav,,,0.3553009999450296,1.47,"[{""label"": ""ㅁ"", ""probability"": 0.07500000000000001, ""score"": 0.07500000000000001}, {""label"": ""ㄹ"", ""probability"": 0.05, ""score"": 0.05}, {""label"": ""ㅎ"", ""probability"": 0.009615384615384616, ""score"": 0.009615384615384616}, {""label"": ""ㅌ"", ""probability"": 0.007692307692307693, ""score"": 0.007692307692307693}, {""label"": ""ㅍ"", ""probability"": 0.007692307692307693, ""score"": 0.007692307692307693}]",2026-06-04 09:52:27,0.35,150,250
s01,2026-06-04,2,long_consonants,Session 2: Long consonants,17,3,ㅍ,6/350,voice_ml,7,ㅋ|ㄹ|ㅌ|ㅍ|ㅎ|ㅁ|ㅊ,ㅍ,0,1,1.4924015998840332,1.1424015998840331,,4.123827934265137,,,1780534348.3147936,1780534349.0476682,1780534352.4386215,ml_jamo,hangul_learning_results\subject_s01\voice_trials\trial_voice_1780534351249.wav,,,0.3243275999557227,1.29,"[{""label"": ""ㅎ"", ""probability"": 0.12884615384615383, ""score"": 0.12884615384615383}, {""label"": ""ㅌ"", ""probability"": 0.11730769230769231, ""score"": 0.11730769230769231}, {""label"": ""ㅍ"", ""probability"": 0.04423076923076923, ""score"": 0.04423076923076923}, {""label"": ""ㅋ"", ""probability"": 0.032692307692307694, ""score"": 0.032692307692307694}, {""label"": ""ㄹ"", ""probability"": 0.026923076923076925, ""score"": 0.026923076923076925}]",2026-06-04 09:52:32,0.35,150,250
s01,2026-06-04,2,long_consonants,Session 2: Long consonants,18,4,ㅊ,7/350,voice_ml,7,ㅋ|ㄹ|ㅌ|ㅍ|ㅎ|ㅁ|ㅊ,ㅍ,1,0,1.8019193999934942,1.451919399993494,,6.34119725227356,,,1780534352.760085,1780534353.440112,1780534359.1012824,ml_jamo,hangul_learning_results\subject_s01\voice_trials\trial_voice_1780534356251.wav,,,0.34918810008093715,1.56,"[{""label"": ""ㄹ"", ""probability"": 0.04423076923076923, ""score"": 0.04423076923076923}, {""label"": ""ㅁ"", ""probability"": 0.03461538461538462, ""score"": 0.03461538461538462}, {""label"": ""ㅎ"", ""probability"": 0.032692307692307694, ""score"": 0.032692307692307694}, {""label"": ""ㅍ"", ""probability"": 0.021153846153846155, ""score"": 0.021153846153846155}, {""label"": ""ㅌ"", ""probability"": 0.011538461538461539, ""score"": 0.011538461538461539}]",2026-06-04 09:52:39,0.35,150,250
