day,session_label,mean_trials,sem_trials,mean_accuracy,sem_accuracy,mean_rt,sem_rt,n_subjects
2026-05-28,S1 Basic consonants,14.0,0,1.0,0,0.8969997857181754,0,1
2026-05-28,S2 Long consonants,14.0,0,1.0,0,1.5830321571473698,0,1
2026-05-28,S3 Double consonants,10.0,0,1.0,0,1.3571907100151293,0,1
2026-05-28,S4 All consonants,38.0,0,1.0,0,1.4258761657861454,0,1
2026-05-28,S5 Basic vowels,12.0,0,1.0,0,1.1468105916962184,0,1
2026-05-28,S6 Double vowels,10.0,0,1.0,0,1.4390913099632598,0,1
2026-05-28,S7 Complex vowels,16.0,0,1.0,0,2.950464400011697,0,1
2026-05-28,S8 All vowels,69.0,0,0.9855072463768116,0,1.7545083434729283,0,1
2026-05-28,S9 Syllable Top 50,50.0,0,0.96,0,3.086314029998612,0,1
2026-06-02,S1 Basic consonants,26.0,0,0.9615384615384616,0,1.0464858115346243,0,1
2026-06-02,S10 Syllable Top 100,33.0,0,0.7878787878787878,0,2.5887385878824825,0,1
2026-06-02,S2 Long consonants,28.0,0,0.9285714285714286,0,1.2010011106862553,0,1
2026-06-02,S3 Double consonants,10.0,0,1.0,0,1.0011706999735908,0,1
2026-06-02,S4 All consonants,54.0,0,0.9629629629629629,0,1.282651327757372,0,1
2026-06-02,S5 Basic vowels,12.0,0,1.0,0,1.2576763083343394,0,1
2026-06-02,S6 Double vowels,10.0,0,1.0,0,1.3810593899572268,0,1
2026-06-02,S7 Complex vowels,16.0,0,1.0,0,1.9737575187609764,0,1
2026-06-02,S8 All vowels,76.0,0,0.9473684210526315,0,1.4792865144677068,0,1
2026-06-02,S9 Syllable Top 50,50.0,0,0.94,0,2.6015117940027266,0,1
2026-06-04,S1 Basic consonants,14.0,0,1.0,0,0.9135888500105855,0,1
2026-06-04,S2 Long consonants,18.0,0,0.9444444444444444,0,1.0779338277772896,0,1
2026-06-04,S3 Double consonants,10.0,0,1.0,0,0.9173850800376385,0,1
2026-06-04,S4 All consonants,38.0,0,1.0,0,1.131098465779551,0,1
2026-06-04,S5 Basic vowels,12.0,0,1.0,0,0.9987523499876261,0,1
2026-06-04,S6 Double vowels,10.0,0,1.0,0,1.2965894700260834,0,1
2026-06-04,S7 Complex vowels,16.0,0,1.0,0,1.7898455062531866,0,1
2026-06-04,S8 All vowels,38.0,0,1.0,0,1.4607549078799293,0,1
2026-06-04,S9 Syllable Top 50,50.0,0,0.98,0,2.2096688400162385,0,1
