session_name,session_label,target_label,mean_accuracy,sem_accuracy,mean_rt,sem_rt,mean_rt_from_stimulus,sem_rt_from_stimulus,total_trials,n_subjects
syllable_top50,S9 Syllable Top 50,나,1.0,0.0,2.263196066720411,0.13551534407890137,1.461796066720411,0.13551534407890137,3,1
syllable_top50,S9 Syllable Top 50,내,1.0,0.0,4.6569522999537485,1.3148189773171441,3.5550522999537484,1.3148189773171441,3,1
syllable_top50,S9 Syllable Top 50,대,1.0,0.0,3.5787706666160375,0.4768833979278156,2.4768706666160374,0.4768833979278156,3,1
syllable_top50,S9 Syllable Top 50,도,0.6666666666666666,0.33333333333333337,1.9546875666128471,0.3517075972577654,1.1534875666128472,0.3517075972577653,3,1
syllable_top50,S9 Syllable Top 50,동,1.0,0.0,2.2869143000183008,0.15346922084686182,1.0848143000183006,0.153469220846862,3,1
syllable_top50,S9 Syllable Top 50,등,1.0,0.0,4.0912182333801566,0.7809552777556893,2.9398182333801564,0.7809552777556893,3,1
syllable_top50,S9 Syllable Top 50,리,1.0,0.0,2.820590633355702,1.005414170545759,2.070090633355702,1.005414170545759,3,1
syllable_top50,S9 Syllable Top 50,보,1.0,0.0,2.2322182000692314,0.30965332379994426,1.431018200069231,0.30965332379994415,3,1
syllable_top50,S9 Syllable Top 50,부,0.6666666666666666,0.33333333333333337,2.299538966656352,0.28381522675927523,1.497738966656352,0.28381522675927523,3,1
syllable_top50,S9 Syllable Top 50,비,1.0,0.0,2.254145899981571,0.2789556709968359,1.7036458999815707,0.27895567099683577,3,1
syllable_top50,S9 Syllable Top 50,사,1.0,0.0,1.6143490332954873,0.007823941169765238,0.8129490332954874,0.007823941169765291,3,1
syllable_top50,S9 Syllable Top 50,상,1.0,0.0,2.448294333376301,0.17771908853191523,1.245994333376301,0.17771908853191523,3,1
syllable_top50,S9 Syllable Top 50,서,1.0,0.0,1.9262173334136605,0.15758691290490756,1.1246173334136604,0.15758691290490753,3,1
syllable_top50,S9 Syllable Top 50,선,1.0,0.0,2.789658600037607,0.3329599163722216,1.587858600037607,0.33295991637222166,3,1
syllable_top50,S9 Syllable Top 50,성,1.0,0.0,2.823412899975665,0.49552312844347063,1.6209128999756652,0.49552312844347063,3,1
syllable_top50,S9 Syllable Top 50,소,1.0,0.0,1.933155233389698,0.25698098237526884,1.1319552333896978,0.2569809823752688,3,1
syllable_top50,S9 Syllable Top 50,수,1.0,0.0,1.8662708999666695,0.14310905980001873,1.0644708999666697,0.14310905980001865,3,1
syllable_top50,S9 Syllable Top 50,스,0.6666666666666666,0.33333333333333337,2.4067791666214666,0.31777338145543593,1.6562791666214665,0.31777338145543604,3,1
syllable_top50,S9 Syllable Top 50,시,1.0,0.0,1.9881626333420475,0.24362284171566745,1.4376626333420477,0.2436228417156674,3,1
