subject,day,session_name,target_label,n_trials,accuracy,rt_mean_sec,rt_median_sec,rt_from_stimulus_mean_sec,rt_from_stimulus_median_sec,n_errors,session_order
s01,2026-05-28,basic_consonants,ㄱ,2,1.0,0.7238857499905862,0.7238857499905862,0.5738857499905862,0.5738857499905862,0,1
s01,2026-05-28,basic_consonants,ㄴ,2,1.0,0.7826980500249192,0.7826980500249192,0.6326980500249192,0.6326980500249192,0,1
s01,2026-05-28,basic_consonants,ㄷ,2,1.0,0.8141846000216901,0.8141846000216901,0.6641846000216901,0.6641846000216901,0,1
s01,2026-05-28,basic_consonants,ㅂ,2,1.0,0.9677976499660872,0.9677976499660872,0.8177976499660872,0.8177976499660872,0,1
s01,2026-05-28,basic_consonants,ㅅ,2,1.0,1.383775099995546,1.383775099995546,1.2337750999955461,1.2337750999955461,0,1
s01,2026-05-28,basic_consonants,ㅇ,2,1.0,0.8285206000437029,0.8285206000437029,0.6785206000437028,0.6785206000437028,0,1
s01,2026-05-28,basic_consonants,ㅈ,2,1.0,0.7781367499846965,0.7781367499846965,0.6281367499846965,0.6281367499846965,0,1
s01,2026-05-28,long_consonants,ㄹ,2,1.0,1.1731317999656312,1.1731317999656312,0.8231317999656311,0.8231317999656311,0,2
s01,2026-05-28,long_consonants,ㅁ,2,1.0,1.3229576000012457,1.3229576000012457,0.9729576000012456,0.9729576000012456,0,2
s01,2026-05-28,long_consonants,ㅊ,2,1.0,1.7592312999768183,1.7592312999768183,1.4092312999768182,1.4092312999768182,0,2
s01,2026-05-28,long_consonants,ㅋ,2,1.0,1.3684322500484996,1.3684322500484996,1.0184322500484995,1.0184322500484995,0,2
s01,2026-05-28,long_consonants,ㅌ,2,1.0,1.4148159000324085,1.4148159000324085,1.0648159000324084,1.0648159000324084,0,2
s01,2026-05-28,long_consonants,ㅍ,2,1.0,1.8038458000519313,1.8038458000519313,1.4538458000519312,1.4538458000519312,0,2
s01,2026-05-28,long_consonants,ㅎ,2,1.0,2.2388104499550536,2.2388104499550536,1.8888104499550535,1.8888104499550535,0,2
s01,2026-05-28,double_consonants,ㄲ,2,1.0,0.8601160999969579,0.8601160999969579,0.4098160999969579,0.4098160999969579,0,3
s01,2026-05-28,double_consonants,ㄸ,2,1.0,1.2482738500111736,1.2482738500111736,0.7981738500111737,0.7981738500111737,0,3
s01,2026-05-28,double_consonants,ㅃ,2,1.0,1.654973550059367,1.654973550059367,1.2043735500593669,1.2043735500593669,0,3
s01,2026-05-28,double_consonants,ㅆ,2,1.0,1.578459050040692,1.578459050040692,1.1280590500406922,1.1280590500406922,0,3
s01,2026-05-28,double_consonants,ㅉ,2,1.0,1.4441309999674559,1.4441309999674559,0.9934309999674559,0.9934309999674559,0,3
s01,2026-05-28,all_consonants,ㄱ,2,1.0,1.1732926500262693,1.1732926500262693,1.0232926500262693,1.0232926500262693,0,4
s01,2026-05-28,all_consonants,ㄲ,2,1.0,1.4166517999838106,1.4166517999838106,0.9663517999838107,0.9663517999838107,0,4
s01,2026-05-28,all_consonants,ㄴ,2,1.0,0.9154755499912426,0.9154755499912426,0.7654755499912426,0.7654755499912426,0,4
s01,2026-05-28,all_consonants,ㄷ,2,1.0,1.198919849935919,1.198919849935919,1.0489198499359191,1.0489198499359191,0,4
s01,2026-05-28,all_consonants,ㄸ,2,1.0,1.3706774999736808,1.3706774999736808,0.9205774999736809,0.9205774999736809,0,4
s01,2026-05-28,all_consonants,ㄹ,2,1.0,1.2773959999904037,1.2773959999904037,0.9273959999904036,0.9273959999904036,0,4
