day,session_name,trial_index_session,correct,rt_sec,moving_accuracy,moving_rt,moving_rt_from_stimulus,target_label,selected_label
2026-05-28,all_consonants,1,1,1.0419776999624446,1.0,1.0419776999624446,0.8919776999624446,ㄴ,ㄴ
2026-05-28,all_consonants,2,1,1.531216099974699,1.0,1.286596899968572,0.986446899968572,ㄲ,ㄲ
2026-05-28,all_consonants,3,1,2.2247331000398844,1.0,1.5993089666590095,1.3492089666590097,ㅂ,ㅂ
2026-05-28,all_consonants,4,1,2.885624499991536,1.0,1.9208878499921411,1.6458128499921412,ㅍ,ㅍ
2026-05-28,all_consonants,5,1,1.4745480000274256,1.0,1.831619879999198,1.5214398799991982,ㅃ,ㅃ
2026-05-28,all_consonants,6,1,1.5240190000040457,1.0,1.7803530666666727,1.463536400000006,ㄹ,ㄹ
2026-05-28,all_consonants,7,1,1.2451614000601694,1.0,1.7038971142943151,1.410911400008601,ㅈ,ㅈ
2026-05-28,all_consonants,8,1,1.0807507000863552,1.0,1.62600381251832,1.31330381251832,ㅉ,ㅉ
2026-05-28,all_consonants,9,1,1.4708763000089675,1.0,1.6087674222395032,1.314145200017281,ㅅ,ㅅ
2026-05-28,all_consonants,10,1,1.1767853999044746,1.0,1.5655692200060003,1.2854092200060003,ㄷ,ㄷ
2026-05-28,all_consonants,11,1,0.9393300999654456,1.0,1.5553044600063004,1.2751444600063004,ㄱ,ㄱ
2026-05-28,all_consonants,12,1,0.9704690999351442,1.0,1.4992297600023448,1.249099760002345,ㅇ,ㅇ
2026-05-28,all_consonants,13,1,1.4178130999207497,1.0,1.4185377599904314,1.1484077599904314,ㅌ,ㅌ
2026-05-28,all_consonants,14,1,1.6898794999578968,1.0,1.2989632599870675,1.0288332599870675,ㅎ,ㅎ
2026-05-28,all_consonants,15,1,1.308316099923104,1.0,1.2823400699766352,1.0122300699766353,ㅆ,ㅆ
2026-05-28,all_consonants,16,1,1.5646117000142112,1.0,1.2863993399776519,1.016289339977652,ㅋ,ㅋ
2026-05-28,all_consonants,17,1,1.90517899999395,1.0,1.3524010999710299,1.06229109997103,ㅊ,ㅊ
2026-05-28,all_consonants,18,1,1.687602199963294,1.0,1.4130862499587238,1.1230362499587239,ㄸ,ㄸ
2026-05-28,all_consonants,19,1,1.4204679999966174,1.0,1.4080454199574888,1.0979954199574888,ㅁ,ㅁ
2026-05-28,all_consonants,20,1,1.3882143999217078,1.0,1.4291883199592121,1.099138319959212,ㅌ,ㅌ
2026-05-28,all_consonants,21,1,2.102277699974365,1.0,1.545483079960104,1.195433079960104,ㅍ,ㅍ
2026-05-28,all_consonants,22,1,1.2210542999673637,1.0,1.570541599963326,1.220491599963326,ㄷ,ㄷ
2026-05-28,all_consonants,23,1,2.291120700072497,1.0,1.6578723599785008,1.2977523599785008,ㅉ,ㅉ
2026-05-28,all_consonants,24,1,0.9370482000522316,1.0,1.5825892299879343,1.242469229987934,ㅈ,ㅈ
