subject_id,session_id,condition_name,mini_block,accuracy,n_trials,rt_mean_correct
1,20260602_183742,C1_PhoneLike,1.0,0.7777777777777778,9,2.012258142831602
1,20260602_183742,C1_PhoneLike,2.0,0.7777777777777778,9,1.529534614279068
1,20260602_183742,C1_PhoneLike,3.0,0.8888888888888888,9,1.600902100035455
1,20260602_183742,C1_PhoneLike,4.0,1.0,9,1.2461291333246562
1,20260602_183742,C1_PhoneLike,5.0,1.0,1,1.0882943999022243
1,20260602_183742,C2_KeyboardLike,1.0,0.2222222222222222,9,1.8213897499954328
1,20260602_183742,C2_KeyboardLike,2.0,0.6666666666666666,9,2.1876802500337362
1,20260602_183742,C2_KeyboardLike,3.0,0.7777777777777778,9,1.425761728580775
1,20260602_183742,C2_KeyboardLike,4.0,1.0,9,1.6800883444440033
1,20260602_183742,C2_KeyboardLike,5.0,1.0,9,1.5233827221672982
1,20260602_183742,C3_MediumA,1.0,0.0,9,
1,20260602_183742,C3_MediumA,2.0,0.7777777777777778,9,1.7434305000185435
1,20260602_183742,C3_MediumA,3.0,0.7777777777777778,9,1.5852370285761677
1,20260602_183742,C3_MediumA,4.0,1.0,9,1.8368234111306567
1,20260602_183742,C3_MediumA,5.0,1.0,7,1.4031209857535683
1,20260602_183742,C4_MediumB,1.0,0.3333333333333333,9,1.5281944999781747
1,20260602_183742,C4_MediumB,2.0,0.4444444444444444,9,1.6124177500023507
1,20260602_183742,C4_MediumB,3.0,0.4444444444444444,9,2.6190257500857115
1,20260602_183742,C4_MediumB,4.0,0.7777777777777778,9,1.914085571454572
1,20260602_183742,C4_MediumB,5.0,1.0,9,2.640856044470436
1,20260602_183742,C4_MediumB,6.0,1.0,9,1.8447913666410993
1,20260602_183742,C5_LowA,1.0,0.0,9,
1,20260602_183742,C5_LowA,2.0,0.3333333333333333,9,1.68544686671036
1,20260602_183742,C5_LowA,3.0,0.4444444444444444,9,1.402929475007113
1,20260602_183742,C5_LowA,4.0,0.5555555555555556,9,1.4158376399893313
1,20260602_183742,C5_LowA,5.0,1.0,9,2.7216126333611705
1,20260602_183742,C5_LowA,6.0,0.8888888888888888,9,2.234964575036429
1,20260602_183742,C5_LowA,7.0,1.0,7,1.6116129143296607
1,20260602_183742,C6_LowB,1.0,0.0,9,
1,20260602_183742,C6_LowB,2.0,0.1111111111111111,9,4.987713299924508
1,20260602_183742,C6_LowB,3.0,0.4444444444444444,9,1.3855531249428168
1,20260602_183742,C6_LowB,4.0,0.5555555555555556,9,1.8710704000201077
1,20260602_183742,C6_LowB,5.0,0.7777777777777778,9,2.15354739997669
1,20260602_183742,C6_LowB,6.0,0.7777777777777778,9,1.2364550428797625
1,20260602_183742,C6_LowB,7.0,0.8888888888888888,9,1.3127004125271924
1,20260602_183742,C6_LowB,8.0,1.0,9,1.5263869333494868
1,20260602_183742,C6_LowB,9.0,1.0,3,1.3764514333258073
