condition_name,mini_block,accuracy_mean,accuracy_sd,accuracy_sem,rt_mean_correct_mean,n_subject_blocks
C1_PhoneLike,1.0,0.7777777777777778,,,2.012258142831602,1
C1_PhoneLike,2.0,0.7777777777777778,,,1.529534614279068,1
C1_PhoneLike,3.0,0.8888888888888888,,,1.600902100035455,1
C1_PhoneLike,4.0,1.0,,,1.2461291333246562,1
C1_PhoneLike,5.0,1.0,,,1.0882943999022243,1
C2_KeyboardLike,1.0,0.2222222222222222,,,1.8213897499954328,1
C2_KeyboardLike,2.0,0.6666666666666666,,,2.1876802500337362,1
C2_KeyboardLike,3.0,0.7777777777777778,,,1.425761728580775,1
C2_KeyboardLike,4.0,1.0,,,1.6800883444440033,1
C2_KeyboardLike,5.0,1.0,,,1.5233827221672982,1
C3_MediumA,1.0,0.0,,,,1
C3_MediumA,2.0,0.7777777777777778,,,1.7434305000185435,1
C3_MediumA,3.0,0.7777777777777778,,,1.5852370285761677,1
C3_MediumA,4.0,1.0,,,1.8368234111306567,1
C3_MediumA,5.0,1.0,,,1.4031209857535683,1
C4_MediumB,1.0,0.3333333333333333,,,1.5281944999781747,1
C4_MediumB,2.0,0.4444444444444444,,,1.6124177500023507,1
C4_MediumB,3.0,0.4444444444444444,,,2.6190257500857115,1
C4_MediumB,4.0,0.7777777777777778,,,1.914085571454572,1
C4_MediumB,5.0,1.0,,,2.640856044470436,1
C4_MediumB,6.0,1.0,,,1.8447913666410993,1
C5_LowA,1.0,0.0,,,,1
C5_LowA,2.0,0.3333333333333333,,,1.68544686671036,1
C5_LowA,3.0,0.4444444444444444,,,1.402929475007113,1
C5_LowA,4.0,0.5555555555555556,,,1.4158376399893313,1
C5_LowA,5.0,1.0,,,2.7216126333611705,1
C5_LowA,6.0,0.8888888888888888,,,2.234964575036429,1
C5_LowA,7.0,1.0,,,1.6116129143296607,1
C6_LowB,1.0,0.0,,,,1
C6_LowB,2.0,0.1111111111111111,,,4.987713299924508,1
C6_LowB,3.0,0.4444444444444444,,,1.3855531249428168,1
C6_LowB,4.0,0.5555555555555556,,,1.8710704000201077,1
C6_LowB,5.0,0.7777777777777778,,,2.15354739997669,1
C6_LowB,6.0,0.7777777777777778,,,1.2364550428797625,1
C6_LowB,7.0,0.8888888888888888,,,1.3127004125271924,1
C6_LowB,8.0,1.0,,,1.5263869333494868,1
C6_LowB,9.0,1.0,,,1.3764514333258073,1
