condition_name,trial_in_condition,rolling_accuracy_mean,rolling_accuracy_sem,rolling_rt_correct_mean,rolling_rt_correct_sem,n_subjects
C1_PhoneLike,1,,,,,1
C1_PhoneLike,2,,,,,1
C1_PhoneLike,3,0.3333333333333333,,,,1
C1_PhoneLike,4,0.5,,2.512886899872683,,1
C1_PhoneLike,5,0.6,,2.028055533223475,,1
C1_PhoneLike,6,0.6666666666666666,,2.05504242493771,,1
C1_PhoneLike,7,0.7142857142857143,,2.136806619958952,,1
C1_PhoneLike,8,0.75,,1.971358749937887,,1
C1_PhoneLike,9,0.7777777777777778,,2.012258142831602,,1
C1_PhoneLike,10,0.6666666666666666,,2.096356049994938,,1
C1_PhoneLike,11,0.7777777777777778,,1.9523887285696608,,1
C1_PhoneLike,12,0.8888888888888888,,1.8181652374914847,,1
C1_PhoneLike,13,0.8888888888888888,,1.476872387516778,,1
C1_PhoneLike,14,0.8888888888888888,,1.7620353875099681,,1
C1_PhoneLike,15,0.8888888888888888,,1.6159402125049382,,1
C1_PhoneLike,16,0.7777777777777778,,1.494808328570798,,1
C1_PhoneLike,17,0.7777777777777778,,1.6365485428499855,,1
C1_PhoneLike,18,0.7777777777777778,,1.529534614279068,,1
C1_PhoneLike,19,0.8888888888888888,,1.466275000013411,,1
C1_PhoneLike,20,0.8888888888888888,,1.702120512520196,,1
C1_PhoneLike,21,0.8888888888888888,,1.885610062541673,,1
C1_PhoneLike,22,0.8888888888888888,,1.9006945625296794,,1
C1_PhoneLike,23,0.8888888888888888,,1.6042923000350129,,1
C1_PhoneLike,24,0.7777777777777778,,1.6952995286057038,,1
C1_PhoneLike,25,0.8888888888888888,,1.6832154750300106,,1
C1_PhoneLike,26,0.8888888888888888,,1.6270923875563312,,1
C1_PhoneLike,27,0.8888888888888888,,1.600902100035455,,1
C1_PhoneLike,28,0.8888888888888888,,1.732463624997763,,1
C1_PhoneLike,29,0.8888888888888888,,1.5714581499923952,,1
