correct_symbol,learning_accuracy,n_trials,rt_mean_correct
기역,0.7352941176470589,34,1.8045908800140023
니은,0.6666666666666666,36,1.5746090500227485
디귿,0.7058823529411765,34,1.446865266674043
리을,0.6571428571428571,35,1.7730520087010835
미음,0.5714285714285714,35,2.069941434985958
비읍,0.6857142857142857,35,1.9625985958652261
시옷,0.6176470588235294,34,1.752650752386433
이응,0.75,36,1.8658277962822467
지읒,0.6388888888888888,36,1.7264916565390709
